sym,hour,exec_vol,hidden,n_ep,n_iceberg,hidden_ask,hidden_bid,hidden_fraction,iceberg_rate,signed_hidden,ret,rv,trade_count,ofi_norm,spread,rv_next,ret_next,hour_next,contig
SOLUSDT,476601,88637.36,3124.988,2634,97,2331.42,793.568,0.035255878559559986,0.036826119969627945,0.017349930097196035,0.005877285716564096,0.008736518030222934,25459,0.09952641273743569,6.945148052501179e-05,0.007831038995529093,-0.0028995532914004585,476602.0,True
SOLUSDT,476602,74791.078,4051.573000000001,2791,74,3669.9690000000005,381.604,0.05417187595557857,0.026513794338946614,0.043967343270543593,-0.0028995532914004585,0.007831038995529093,20953,0.07776399083771916,6.904199449259084e-05,0.006315267856492468,-0.0031160223253099417,476603.0,True
SOLUSDT,476603,74332.273,886.56,2448,58,442.44899999999996,444.11100000000005,0.011926986276875993,0.02369281045751634,-2.2359063337133407e-05,-0.0031160223253099417,0.006315267856492468,20778,0.13944438546294874,6.956177961789443e-05,0.031930260387705446,0.03254593921020099,476604.0,True
SOLUSDT,476604,261908.06600000002,26705.51000000001,7914,738,8408.911000000002,18296.59900000001,0.10196520637130743,0.0932524639878696,-0.037752514273462684,0.03254593921020099,0.031930260387705446,95786,0.013405390433953106,7.495798384032871e-05,0.01625594498400189,0.013137463465220378,476605.0,True
SOLUSDT,476605,298007.684,18130.09899999998,9188,552,14778.14999999998,3351.949,0.06083768967514267,0.06007836308228123,0.038341967719194715,0.013137463465220378,0.01625594498400189,100834,0.0958494597278088,6.676714589592779e-05,0.011127502768539554,0.010019859703405132,476606.0,True
SOLUSDT,476606,137661.775,4763.631999999999,4532,131,3938.5359999999987,825.096,0.03460388332200423,0.028905560458958517,0.022616590553187325,0.010019859703405132,0.011127502768539554,38628,0.07541008811738299,6.593262947294694e-05,0.011044013650689268,-0.005656421290324509,476607.0,True
SOLUSDT,476607,173878.139,4007.7039999999993,4417,166,2609.9319999999993,1397.7720000000002,0.023048923936320707,0.037582069277790356,0.006971319148981686,-0.005656421290324509,0.011044013650689268,49084,-0.02796031878519977,6.55875816963657e-05,0.01020668811798062,0.009714549650499116,476608.0,True
SOLUSDT,476608,123855.267,4531.8330000000005,4303,148,3397.6890000000003,1134.1440000000002,0.03658974793538655,0.034394608412735304,0.018275726618876855,0.009714549650499116,0.01020668811798062,37986,0.04793105563295404,6.57447186301913e-05,0.006695263515911731,0.004041726492850728,476609.0,True
SOLUSDT,476609,70730.01,763.7860000000001,2737,95,436.394,327.3920000000001,0.010798612922576995,0.034709535988308365,0.001541099739700304,0.004041726492850728,0.006695263515911731,23018,-0.006903154058074728,6.517783602737639e-05,0.008373417583735627,0.0019498251335337002,476610.0,True
SOLUSDT,476610,107056.488,1531.6520000000003,3094,117,773.8100000000001,757.8420000000003,0.014306951672092963,0.037815126050420166,0.00014915490222320514,0.0019498251335337002,0.008373417583735627,30312,0.11689498921088484,6.512591269773092e-05,0.008665022540109006,0.005826390535447423,476611.0,True
SOLUSDT,476611,81573.24,659.8,3388,92,424.09100000000007,235.70899999999995,0.008088436845220318,0.02715466351829988,0.0023093602755021145,0.005826390535447423,0.008665022540109006,26732,0.05196692760874587,6.500089609588851e-05,0.01065112695220383,0.010913634676239958,476612.0,True
SOLUSDT,476612,184715.768,8390.828000000001,4085,202,3682.458,4708.37,0.04542561845613527,0.04944920440636475,-0.005554003381021591,0.010913634676239958,0.01065112695220383,51889,0.12007246274178876,6.464885626552529e-05,0.006620772577939009,-0.005891787776759472,476613.0,True
SOLUSDT,476613,78025.809,1037.4740000000002,2009,86,339.726,697.7480000000002,0.013296549094415673,0.0428073668491787,-0.004588507374527834,-0.005891787776759472,0.006620772577939009,24314,0.04897265561148903,6.401287087185927e-05,0.005195650743626809,0.0012838620328139427,476614.0,True
SOLUSDT,476614,97208.938,1408.0799999999986,2200,89,466.70499999999805,941.3750000000006,0.014485087780714142,0.04045454545454545,-0.004882987200209949,0.0012838620328139427,0.005195650743626809,24943,0.05456932403036205,6.415132735315567e-05,0.007745293475759686,0.016794287851725542,476615.0,True
SOLUSDT,476615,120157.70400000001,3104.516000000011,2637,145,1567.0960000000102,1537.4200000000008,0.025837011665935383,0.054986727341676145,0.00024697542489667977,0.016794287851725542,0.007745293475759686,39773,0.3037441317402997,6.376676578389983e-05,0.009879583236437124,-0.0012908048940598604,477312.0,False
SOLUSDT,477312,60201.821,1406.545,3134,151,1048.7069999999999,357.83800000000014,0.023363828147324645,0.048181238034460755,0.011475882099978333,-0.0012908048940598604,0.009879583236437124,20376,0.06886949062177529,6.798406302520403e-05,0.009164859815333744,0.005828944252322721,477313.0,True
SOLUSDT,477313,61467.287000000004,627.7070000000001,3983,137,370.2030000000002,257.50399999999996,0.010212049866459863,0.034396183781069546,0.0018334793269792473,0.005828944252322721,0.009164859815333744,25346,-0.015503705856937494,6.812227828862345e-05,0.007459797107761273,0.0010131370965558162,477314.0,True
SOLUSDT,477314,43679.238,288.2549999999999,2227,81,183.15400000000002,105.10099999999987,0.00659935963168588,0.03637180062864841,0.0017869588292726206,0.0010131370965558162,0.007459797107761273,15836,0.1167731508671094,6.759593273246257e-05,0.0077322363999944715,-0.004262090814085795,477315.0,True
SOLUSDT,477315,43837.873999999996,409.83500000000015,1790,74,247.82999999999993,162.0050000000002,0.009348879464364539,0.041340782122905026,0.0019577819855041267,-0.004262090814085795,0.0077322363999944715,13843,0.09082723141621178,6.826414185908083e-05,0.004141596716188379,-0.0030553033238822636,477316.0,True
SOLUSDT,477316,27907.367,188.86499999999984,1168,38,173.32699999999983,15.538,0.006767567861203095,0.032534246575342464,0.005654026766480687,-0.0030553033238822636,0.004141596716188379,8037,0.13588549840521771,6.774892623466057e-05,0.009637414931295508,0.01082042071303757,477317.0,True
SOLUSDT,477317,72136.391,690.364,2150,86,437.6920000000001,252.672,0.009570259759737633,0.04,0.002564863551324603,0.01082042071303757,0.009637414931295508,20239,0.0923764010015205,6.859072839836986e-05,0.005808963232597158,-0.005125103941980846,477318.0,True
SOLUSDT,477318,78280.516,2380.5199999999995,2305,69,1878.6469999999997,501.873,0.03041012146624071,0.029934924078091105,0.017587697045839602,-0.005125103941980846,0.005808963232597158,26763,-0.1339238024127636,6.762882041663016e-05,0.004723286190602331,-0.001962576341372646,477319.0,True
SOLUSDT,477319,50979.975,1384.431,1549,67,1310.867,73.56400000000001,0.02715636875067122,0.04325371207230471,0.02427037282776227,-0.001962576341372646,0.004723286190602331,16137,0.21151378034385626,6.771799417941792e-05,0.005616926694617204,0.005404688200081331,477320.0,True
