sym,retail_1s,retail_n,retail_perm,mid_1s,mid_n,mid_perm,institutional_1s,institutional_n,institutional_perm,inst_over_retail
ZRXUSDT,0.6279563228437585,272229,1.9292466368428314,0.575303597994135,12679,-1.4057512990580918,0.7929522891365322,356,-5.583892397163724,1.2627507046120248
LDOUSDT,0.25531654964608924,665479,1.442299290098037,0.330633246973384,71072,0.7146035051189518,0.3797792065628575,3421,0.5824969953426133,1.487483702444256
MANAUSDT,0.38858272473454797,331150,0.7496866663839862,0.47841346998569245,17359,0.6327265648406007,0.5153070165114527,348,-3.167494159623799,1.3261192114587024
STORJUSDT,0.5524437838906567,456329,0.8633351980330598,0.5760189591668632,27311,1.974772522063993,1.4526357657650713,763,6.407666687821021,2.6294725510977717
RVNUSDT,0.7248380446859328,218219,0.5157735390231502,0.5873162768439281,7232,-0.08338984659102076,1.750976096938634,201,5.086223292430983,2.4156790744852796
FILUSDT,0.1958584687853076,729203,1.256338632687749,0.33635814511769563,146624,0.4107817452456382,0.3410740795799148,8544,0.13626356132411627,1.7414313595690718
IOTAUSDT,0.38012339412037366,287073,1.0856717757565832,0.33657919523302654,21290,0.16535266639654045,0.493243110455581,718,0.26872389920470885,1.2975868312366634
POLYXUSDT,0.3756223309269454,388706,0.30597624920728533,0.31286110778108867,22309,0.07444358908654913,0.28573187246739595,561,-4.801552601310459,0.760689258709083
APEUSDT,-0.06991641693730871,382415,0.35006413629861644,0.08991558968908045,63186,0.09857764450464405,0.11750220842087111,2838,-0.14932264979412047,
NMRUSDT,0.7158580481324469,203328,0.911058271354275,0.39689653238519657,5781,-0.3991429823721387,-1.876965609169869,168,-0.053038398915778176,-2.621980173396885
SANDUSDT,0.27186770706831287,440536,0.6679734156655435,0.29753444006232527,41814,0.39608009030543956,-0.011693456062838446,1228,-1.4169500187316615,-0.043011566871751346
NEOUSDT,0.3074011262576503,281066,1.4288151959979318,0.36156510481661686,30962,0.11382124447673084,0.27554831176217953,1018,-1.538424886043927,0.8963802934515824
SUSHIUSDT,0.1682915910924169,278147,0.347249477734886,0.5119024069354792,23297,0.8442868692046468,0.868961323821137,1152,-3.399104129617706,5.163426872255008
IMXUSDT,0.5930411310024465,585510,1.2103628962540247,0.6599701466534342,28383,1.0079089702171053,1.5553951742089613,1027,0.5246534315079083,2.6227441789405073
