split,pair,tr_kappa,tr_halflife,tr_vr,tr_excess,tr_nev,oos_excess,oos_kappa,oos_nev,oos_floor,oos_obs
6,ADAUSDT_ZRXUSDT,0.014538038331389528,47.67817808427082,0.5743883412299806,0.4955076898640457,42,-0.028135226084653686,0.011242136683505096,17,0.9709830545408413,0.9428478284561876
6,ADAUSDT_LDOUSDT,0.006722037762299,103.11563324554761,0.7293656113656578,0.3983042733938109,36,0.4286302921890265,0.02548062931340064,18,0.8810961514789403,1.3097264436679668
6,ADAUSDT_MANAUSDT,0.008830197488316784,78.49735880506034,0.6861953092779473,0.6324704117374056,39,-0.10828563552966619,0.00988060002333043,16,1.0088566628308802,0.900571027301214
6,ADAUSDT_STORJUSDT,0.013287682796166362,52.164639327477445,0.5692663671371693,0.5355805286895009,37,0.3345321493114142,0.005573863529827362,19,1.0561108104363774,1.3906429597477916
6,ADAUSDT_RVNUSDT,0.004250135025902694,163.0882728043979,0.6683059820533652,0.5164350548122909,30,-0.1835749387547415,0.0058112759968574745,14,0.9688419083477511,0.7852669695930096
6,ADAUSDT_FILUSDT,0.0116823470400713,59.332870200003484,0.7619904587433923,0.2318505634035537,37,0.21225054033753876,0.006728873793179487,18,1.0563176580663884,1.2685681984039272
6,ADAUSDT_IOTAUSDT,0.010770430451422132,64.35649751291248,0.6761089132149035,0.7152515083221298,41,0.14160486883242474,0.0037264956215384017,17,0.9802036035005406,1.1218084723329653
6,ADAUSDT_POLYXUSDT,0.0305155696577627,22.714541735045707,0.3715126041804738,0.6522707311885421,36,0.4213049230406307,0.012520005346213002,18,1.0511132791067896,1.4724182021474204
6,ADAUSDT_APEUSDT,0.004654942040454093,148.90565221566717,0.7354391622930273,0.2491519201974446,37,0.16810932316869764,0.008183276263651978,18,0.9602104732999315,1.1283197964686291
6,ADAUSDT_NMRUSDT,0.012397437991768154,55.9105180457601,0.6692334882838695,0.5135666930830561,34,0.21730892472629293,0.003368873123890942,14,0.9797453413516652,1.1970542660779582
6,ADAUSDT_SANDUSDT,0.018619621686042264,37.226705904532196,0.4658786053788501,0.43338198507234127,41,0.2933905699186241,0.009628920423252998,18,0.9340283016180022,1.2274188715366263
6,ADAUSDT_NEOUSDT,0.009814531215464358,70.62458362430816,0.6812805314086394,0.1588918135918057,33,-0.07607238900105906,0.007858203322709346,17,1.0632165333222232,0.9871441443211642
6,ADAUSDT_SUSHIUSDT,0.009368926642652174,73.98362768733642,0.679348788033543,0.5415721106250402,37,0.17444159355970146,0.0072138421138788125,17,1.0028866430572723,1.1773282366169737
6,ADAUSDT_IMXUSDT,0.012566562452395161,55.15805799603,0.7800642122003989,0.32171790229835695,34,-0.06910760644428038,0.0044350899514524235,15,0.9613345737343785,0.8922269672900981
6,USDCUSDT_XRPUSDT,0.47242080666243447,1.4672240739287115,0.06899663569221709,1.6566920953446036,42,1.3761228796128526,0.41590766513309274,21,1.0048581071779494,2.380980986790802
6,USDCUSDT_BNBUSDT,0.5044191174832351,1.374149306668542,0.06836187809050316,1.8419839738955885,41,1.3562092956502934,0.43338832655034815,21,0.9810569573444855,2.337266252994779
6,USDCUSDT_AVAXUSDT,0.47383125758015243,1.4628565960376596,0.06902122418864934,1.7080243412297753,42,1.3890194387154322,0.4063425649469779,21,0.9889205221684474,2.3779399608838796
6,USDCUSDT_DOGEUSDT,0.472221707946045,1.4678426868066445,0.06882727941886668,1.7182028771048588,42,1.4057690831032472,0.41480863277680563,21,0.9788944962969387,2.384663579400186
6,USDCUSDT_FETUSDT,0.49057896621674824,1.412916631761375,0.06828621256964579,1.77364480841995,40,1.4465615961547087,0.40567881268243633,21,0.8872353323119331,2.3337969284666418
6,USDCUSDT_VETUSDT,0.4762446279863814,1.4554435679214976,0.06912323344000441,1.6979717114199886,41,1.4162775254954638,0.41793775294373087,21,0.9647622534873614,2.3810397789828253
6,USDCUSDT_GALAUSDT,0.4759064901891031,1.456477679647783,0.06905546606784822,1.7190649524639006,42,1.4653366112149913,0.41781985009706935,21,0.9143154652949198,2.379652076509911
