sym,n_days,n_sec,contemp_incr_book,contemp_joint_r2,cancel_share,pred_incr_book_h1,pred_joint_h1,t_book_h1,pred_incr_book_h5,pred_joint_h5,t_book_h5,pred_incr_book_h10,pred_joint_h10,t_book_h10,pred_incr_book_h30,pred_joint_h30,t_book_h30
FETUSDT,7,604800,0.34999476683487607,0.4357346266909159,0.8319941480241632,3.741219365527293e-06,0.00011099005736248113,0.4851026964875926,4.986853717747763e-07,0.00031199536075621204,0.09816239330531205,4.590718503116875e-07,0.0003995353480538144,-0.07996770075998658,9.320483404184898e-06,0.0003341574908442002,-0.33140643933391734
VETUSDT,7,604800,0.2505659890162779,0.3405685933561031,0.8943026995216043,0.00104317296259826,0.0010441865909979198,19.24475348343562,0.0010069730818772493,0.001037224580414997,10.101115671317583,0.0007620156243965948,0.0007984059376454633,6.685040766902334,0.0005045087519693903,0.0005233128046370217,4.152118408769836
GALAUSDT,7,604800,0.32816981597131234,0.4178093128474739,0.8787657605378698,0.0007306061980220102,0.001035915998057635,11.515381854145096,0.00045300186925900654,0.0010750204401300811,4.972425493261581,0.00024322504117768595,0.001136328953211918,3.2814935698220755,4.271597988803055e-05,0.00020214427203124608,1.165921262659864
SHIBUSDT,7,604800,0.3880312808327002,0.5563361753714517,0.8849452821776773,0.0006996803029183374,0.0008885042874725579,15.081892147266544,0.0003764171960428664,0.0005380033372408555,6.17195092620422,0.00020020117602048693,0.0003323809848004844,3.5417219509089053,1.1526560571351041e-05,9.552921690336724e-05,0.6523999860299136
LTCUSDT,7,604800,0.331517357919595,0.4101812045123093,0.8935035279050627,0.003015196956901778,0.0030806820168757243,24.569549359930882,0.001965660536201952,0.0021279665105231604,12.78802421246412,0.0009566490944712402,0.001084802185280287,7.679588018009671,0.00012087861830556434,0.0001324325098892576,2.174454584576475
ATOMUSDT,7,604800,0.26551246846174525,0.3370903335180737,0.8881350471102597,0.0010610176821818085,0.0012818623919395034,13.437648685600717,0.001386111822556546,0.0019511848001501075,9.390060660027508,0.001282422951198181,0.0019902020005766463,6.790722506828052,0.0006661238156538962,0.0013668342570318792,3.1447612724293186
DOTUSDT,7,604800,0.29609413943534046,0.39336848312071193,0.8710178300600444,0.0012483374901590683,0.0015577928022036946,18.142898907134082,0.0010080231344259394,0.0015032731288748824,8.886283692747352,0.0006941711173877874,0.0008702832800504545,5.584710713407724,0.00018520070274652412,0.00020859201464484833,2.3453893797141676
XLMUSDT,7,604800,0.17858562086188812,0.27096323783751586,0.9195008397645908,0.00235639496093043,0.0023973679518844992,28.00436611709782,0.003220221441603166,0.003227026476250172,18.10165826551848,0.00226569105091734,0.002333061326520891,11.703442820484453,0.0009441356126596023,0.0014659933817656734,5.697878463383114
HBARUSDT,7,604800,0.14521951180010917,0.3070215677983308,0.9235881853180025,0.0006342137835902983,0.0007872143593758985,9.310196191204215,0.0002926860122555164,0.0007078456982289039,3.8375098563842713,6.930375087854657e-05,0.0011319692294536887,1.4654919826428685,5.355878136881209e-06,0.002686605182832924,-0.3079210611324702
ONEUSDT,7,604800,0.16642119657660148,0.23778799054320365,0.931613017467096,0.0007905306261501988,0.0008321950750360685,15.485017480466729,0.0005847090974564484,0.0006047947047455038,7.292502895774529,0.000265983364599931,0.00027247449501688337,3.768703708585501,0.0001237331071821668,0.00013328394637668328,2.040334885628052
VTHOUSDT,7,604800,0.038740651590686626,0.22244264269777714,0.7852001379229652,0.00039663700098402366,0.00040193255015730234,5.280477470494161,0.0005821018736800188,0.0005859419980670522,4.349881906666485,0.0006286040653954439,0.000640740687786745,3.762313052622495,0.0005745212560387403,0.0005747836507231652,2.9747480538643285
BCHUSDT,7,604800,0.2769836243176558,0.3554016651064068,0.9090803027924459,0.0013308286920367118,0.0013883919992959681,24.215602010592423,0.0008796226203957591,0.0009312414048443518,11.667827003989846,0.00031119045318384053,0.0005057339711412867,5.41674488812392,7.308044960296911e-07,0.00020641689520173312,-0.20315544976952454
ALGOUSDT,7,604800,0.18733647909262263,0.2831064189744228,0.9006560030730777,0.00177084188341603,0.0019121580910366198,20.76545611385367,0.0028263164917766703,0.0031233325054794703,14.340342424223518,0.002580973384966545,0.0027495071486839384,10.179498925613746,0.000841748119676633,0.0008831525841485055,4.710643638648916
NEARUSDT,7,604800,0.3815104701348868,0.5093784333546482,0.8265127884161253,0.001002102216721923,0.0011072564868764845,12.328546764070785,0.000480685455232277,0.0007061450087354482,5.651611116877637,0.00011716909141434861,0.00043452617439943,2.401287853568978,5.011126017029355e-06,0.00021894747951145543,-0.4134997265490823
