model,walk_split,n_bars,mean_pnl,iid_std,hac_std_lag24,iid_pnl_mean_to_std,hac_pnl_mean_to_std_lag24,inflation_factor
lstm,9,5000,0.002380261838304345,0.007028179600564923,0.014239932703944804,0.33867401995717644,0.1671540089262469,2.026119637409409
transformer,9,5000,6.78133982104594e-05,0.001015606327575591,0.001039399279573062,0.06677134276264352,0.06524287590262141,1.0234273372973843
persist_class,10,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,10,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,10,5000,-3.791283872133928e-05,0.005252222173057503,0.005146341270648886,-0.007218437733998005,-0.007366949980089247,0.9798407418955432
zscore_rule,10,5000,0.001165512741554377,0.003956193140534688,0.007649337286210198,0.29460461108753033,0.15236780624845747,1.9335095670218907
sklearn_hist_gradient_boosting,10,5000,0.0020648535977279008,0.005185825086980333,0.00915595633129124,0.39817262693876343,0.2255202540308206,1.76557368937846
lstm,10,5000,0.001881707011325942,0.004691915859277184,0.008792575817152698,0.40105301709648083,0.21401089401527568,1.8739841209571997
transformer,10,5000,1.6307167709268454e-05,0.0012938073761898938,0.0012011153617567131,0.012604015102534885,0.01357668732620163,0.9283571757751549
persist_class,11,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,11,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,11,5000,-9.624109302495592e-05,0.003900542067723766,0.003829950137258779,-0.02467377388936077,-0.02512854987032255,0.9819020204783531
zscore_rule,11,5000,0.0008100504868308033,0.003063026016226924,0.005813467099003791,0.2644608575113032,0.13934034080447713,1.897948978626338
sklearn_hist_gradient_boosting,11,5000,0.001301349682719965,0.003918494165910718,0.007314150649127534,0.3321045349617131,0.17792218743473598,1.8665717848344974
lstm,11,5000,0.001264804513509754,0.0035941584152703416,0.007016404226884784,0.3519056110982852,0.18026391761515073,1.9521688852317967
transformer,11,5000,0.0,0.0,1e-10,0.0,0.0,
persist_class,12,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,12,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,12,5000,7.456412604597728e-05,0.010319817040090174,0.010599108382899415,0.0072253341077959405,0.007034943256762892,1.0270635944149258
zscore_rule,12,5000,0.0028862620540276132,0.009346867002423044,0.019061352663782966,0.3087945996534871,0.15141958206940798,2.0393306825529427
sklearn_hist_gradient_boosting,12,5000,0.003813018466733433,0.01199832846525568,0.02193483362284765,0.31779580612208047,0.17383393611710538,1.8281574542958827
lstm,12,5000,0.004087219360465627,0.011649557791429373,0.022621045484430106,0.35084759727726417,0.18068216003892612,1.9417943487153222
transformer,12,5000,0.0004799839759373368,0.004741051837884246,0.007076030337422511,0.10123997634911659,0.06783237960398203,1.4925022082399924
persist_class,13,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,13,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,13,5000,-0.0002833274002249464,0.008516860881279802,0.008477679778031318,-0.03326664649973379,-0.03342039421672288,0.9953995839788102
zscore_rule,13,5000,0.0016598068553556537,0.006767533497137955,0.013264140863679814,0.2452602349227528,0.12513489357615135,1.9599667839530204
sklearn_hist_gradient_boosting,13,5000,0.002275099489453145,0.010554160433556283,0.01914231625898205,0.21556423211263787,0.11885183896622813,1.8137223116412247
lstm,13,5000,0.002527818770521752,0.010779666562674092,0.018373105270302226,0.23449879046116626,0.1375825552258522,1.704422410793423
