model,walk_split,n_bars,mean_pnl,iid_std,hac_std_lag24,iid_pnl_mean_to_std,hac_pnl_mean_to_std_lag24,inflation_factor
zscore_rule,13,5000,0.0016598068553556537,0.006767533497137955,0.013264140863679814,0.2452602349227528,0.12513489357615135,1.9599667839530204
sklearn_hist_gradient_boosting,13,5000,0.002429440439626908,0.011140985522327158,0.019867551362552634,0.21806333333421657,0.122281825036881,1.7832849098257018
lstm,13,5000,0.0024834258742631953,0.011230161528616419,0.019248140675988228,0.22113892733733093,0.12902159829708812,1.7139682832647238
transformer,13,5000,0.00018536475405319503,0.011507875062342608,0.016094183271681675,0.0161076439437344,0.011517499889500533,1.3985364964855167
persist_class,14,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,14,5000,0.004234242812292339,0.007446315874275866,0.012670192633604015,0.5686359380643529,0.33418930041065337,1.7015384315584323
random_stratified,14,5000,0.0001790136090072552,0.0078137015466672,0.008573397644429426,0.02291021840776736,0.02088012436044763,1.097226147329144
zscore_rule,14,5000,0.0015255301975554312,0.004950969159774222,0.010023637841261236,0.3081275904423124,0.15219326772519143,2.024580949261728
sklearn_hist_gradient_boosting,14,5000,0.0029650095897653275,0.007972718411712413,0.013141413438759564,0.37189443257014404,0.22562333980150606,1.6482977022559862
lstm,14,5000,0.0024785738227107545,0.008193478445710393,0.013331160400383166,0.30250568658155014,0.18592333662413327,1.6270452761564964
transformer,14,5000,-0.0034147465163919277,0.007856029050111681,0.012310114064250272,-0.4346657191069557,-0.27739357235597617,1.5669639185047657
persist_class,15,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,15,5000,-0.005644682435638821,0.011036856082613612,0.021409589326357992,-0.5114393440837653,-0.26365206495060983,1.9398268099268394
random_stratified,15,5000,-0.00017723494914793076,0.0108629590328402,0.010053823532432936,-0.016315531395462823,-0.01762861150050855,0.9255142638427396
zscore_rule,15,5000,0.0020452777225157047,0.00782593889565545,0.019787863798268506,0.26134598669702563,0.10336020822493594,2.5284970994667093
sklearn_hist_gradient_boosting,15,5000,0.003731151760251219,0.011715522692001283,0.022896744053506696,0.31847932510929666,0.16295556047322735,1.9543937266358025
lstm,15,5000,0.0032531850583792724,0.011924899433120332,0.0225285570904008,0.2728060791308516,0.14440272607451735,1.8892031095733828
transformer,15,5000,0.002952290401309309,0.011988531914838127,0.029582344587513812,0.24625954389421764,0.09979906739898564,2.46755355848867
persist_class,16,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,16,5000,0.006605174196161135,0.0106133977613869,0.021580027458932397,0.6223430370424567,0.30607811823831227,2.0332817014965467
random_stratified,16,5000,0.00013956643730237293,0.011156314578929594,0.01090230049791453,0.012510084429311941,0.012801558471908768,0.9772313626316338
zscore_rule,16,5000,0.0014008064144488382,0.006160175299416843,0.013723212475219694,0.22739716750941266,0.10207569233357751,2.227730836899854
sklearn_hist_gradient_boosting,16,5000,0.003366308853612556,0.011939259096995301,0.022720105323838027,0.28195291066760914,0.14816431550960332,1.9029744759920566
lstm,16,5000,0.004039965615238356,0.011830328758070658,0.023975556524917892,0.3414922524855693,0.16850351778235487,2.026617942342621
transformer,16,5000,0.006532105541470554,0.010626714557176365,0.021338735703593403,0.6146872117741541,0.3061149279041194,2.008027560049881
persist_class,17,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,17,5000,0.004925611578594472,0.008491994772728429,0.01751509220249584,0.5800299824032865,0.2812209905405231,2.062541566646342
random_stratified,17,5000,-0.0001333137776118624,0.00882753342779864,0.008946267579633236,-0.015102041663421651,-0.014901608567505845,1.0134504335560703
zscore_rule,17,5000,0.0020830673548130367,0.006160382132345929,0.015020738146234107,0.33813930857886343,0.1386794267054904,2.4382802598179207
sklearn_hist_gradient_boosting,17,5000,0.0030877783856064996,0.009168221650911381,0.018464406176144546,0.3367914196642,0.16722868616245107,2.013957218661818
lstm,17,5000,0.0024918934087664714,0.009492730007844128,0.018536031049473486,0.26250545488045535,0.13443511192420307,1.9526554567712981
transformer,17,5000,0.0028645276840695414,0.009293336437700667,0.014257660047624139,0.30823458327075004,0.2009114871936422,1.5341809847520955
persist_class,18,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,18,5000,-0.003960312711844619,0.007717439490763158,0.01337143359352843,-0.5131640768398165,-0.29617712148391856,1.7326256473448762
random_stratified,18,5000,3.887050178976601e-05,0.007654110383565361,0.0075194750675057,0.005078382704439093,0.005169310549048714,0.9824100634413705
